Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
black-copper-tissue-linen-zari-saree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-copper-tissue-linen-zari-saree/0-0e183982.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-copper-tissue-linen-zari-saree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-copper-tissue-linen-zari-saree/1-6a232488.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-copper-tissue-linen-zari-saree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-copper-tissue-linen-zari-saree/2-2398a44d.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-copper-tissue-linen-zari-saree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-copper-tissue-linen-zari-saree/3-4f9b3bc9.png,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-copper-tissue-linen-zari-saree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-copper-tissue-linen-zari-saree/4-15754619.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra,Maroon Linen Muslin Silk Saree With Bird Motif Needlework | Korasutra,"<p><span>Elevate your elegance with the Maroon Linen Muslin Silk Saree from Korasutra, featuring exquisite bird motif needlework. Crafted from a luxurious linen muslin silk blend, this saree offers a graceful drape, rich texture, and timeless charm—perfect for festive occasions, celebrations, and sophisticated ethnic styling.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,9750.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788890/korasutra/products/images/maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra-0-35f52c95.jpg,1,,false,,,8248,,,,,,,,,,,,,,maroon,silk-linen,one-size,,,kg,,,active
maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra/0-35f52c95.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra/1-bf292cb9.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra/2-4e526648.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra/3-3d5abe9a.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-muslin-silk-saree-with-bird-motif-needlework-korasutra/4-99a560f5.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,White And Pink Hand Paint On Tussar Saree with Flower Motifs| Korasutra,"<p><span>Elegant and timeless, this White and Pink Hand Painted Tussar Saree by Korasutra features delicate floral motifs crafted by skilled artisans. Made from premium Tussar silk, it offers a rich texture, lightweight comfort, and graceful drape—perfect for festive occasions, celebrations, and ethnic styling.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,9500.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788894/korasutra/products/images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra-0-8072c496.jpg,1,,false,,,8248,,,,,,,,,,,,,,white; pink,tussar,one-size,,,kg,,,active
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra/0-8072c496.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra/1-76cc90de.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra/2-bb6dc636.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra/3-de11df7e.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra/4-fc4afe57.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845368/korasutra/products/images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra-csv-7-2493ff2daa.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845370/korasutra/products/images/white-and-pink-hand-paint-on-tussar-saree-with-flower-motifs-korasutra-csv-8-d15f574e19.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra,Green And Pink Pure Bishnupuri Silk Hand Print Batik Saree With Leaf Motif | Korasutra,"<p><span>Shop Green &amp; Pink Pure Bishnupuri Silk Hand Print Batik Saree with elegant leaf motif by Korasutra. Premium silk, traditional craftsmanship, perfect for festive wear.</span></p>
<p><span>Length is 6.25m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,9000.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788839/korasutra/products/images/green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-koras-0-0b1d85c9.jpg,1,,false,,,8248,,,,,,,,,,,,,,pink; green; purple,silk,one-size,,,kg,,,active
green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra/0-0b1d85c9.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra/1-e37dc378.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra/2-24c1047d.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra/3-f79bfc23.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra/4-f55b5b5c.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845370/korasutra/products/images/green-and-pink-pure-bishnupuri-silk-hand-print-batik-saree-with-leaf-motif-koras-csv-7-1f60330529.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-feb11_22-30,Blue And Rust Tussar Block Print Saree With Tree Motif Patli Paluu| Korasutra,"<p><span>Shop Blue and Rust Tussar Block Print Saree with Tree Motif by Korasutra. Handcrafted elegance in pure Tussar silk for festive and ethnic wear.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,9750.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788899/korasutra/products/images/untitled-feb11-22-30-0-2a65e43f.jpg,1,,false,,,8248,,,,,,,,,,,,,,blue; rust,tussar,one-size,,,kg,,,active
untitled-feb11_22-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-feb11_22-30/0-2a65e43f.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-feb11_22-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-feb11_22-30/1-f53d032d.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-feb11_22-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-feb11_22-30/2-b4496295.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-feb11_22-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-feb11_22-30/3-92db3c56.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra,Blue And Green Pure Silk Block Print Saree With Leaf Motif Half & Half| Korasutra,"<p><span>Shop Blue and Green Pure Silk Block Print Saree with Leaf Motif by Korasutra. Handcrafted elegance in luxurious silk—perfect for festive and special occasions.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,7250.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788904/korasutra/products/images/blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra-0-bbe5f468.jpg,1,,false,,,8248,,,,,,,,,,,,,,blue; green,silk,one-size,,,kg,,,active
blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra/0-bbe5f468.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra/1-181e60cb.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra/2-617dfd20.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/blue-and-green-pure-silk-block-print-saree-with-leaf-motif-korasutra/3-28b8c1c0.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
xx,Grey Blue Dual Tone Blended Silk Kantha Stitch Flower Motif | Korasutra,"<p><span>Shop Grey Blue Dual Tone Blended Silk saree with Kantha stitch flower motifs at Korasutra. Elegant handcrafted design perfect for festive and special occasions.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,6600.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788914/korasutra/products/images/xx-0-e18867bf.jpg,1,,false,,,8248,,,,,,,,,,,,,,blue; grey,blended-silk,one-size,,,kg,,,active
xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/xx/0-e18867bf.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/xx/1-77694b0e.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/xx/2-bad06143.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/xx/3-1ec1c2ce.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/xx/4-e7321eb1.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra,Cream Pure Silk Kantha Stitch With Warli Threadwork | Korasutra,"<p><span>Discover Cream Pure Silk Kantha Stitch saree with exquisite Warli threadwork by Korasutra. A handcrafted masterpiece blending tribal artistry with timeless silk elegance.</span></p>
<p><span>Length 6.5m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,13725.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788846/korasutra/products/images/cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra-0-3f57e85a.jpg,1,,false,,,8248,,,,,,,,,,,,,,cream,silk,one-size,,,kg,,,active
cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra/0-3f57e85a.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra/1-a1c49268.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra/2-dad32e8c.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/cream-pure-silk-kantha-stitch-with-warli-threadwork-korasutra/3-d6847d72.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-tussar-saree-with-floral-motif-korasutra,Green Tussar Jamdani Saree With Floral Motif Needlework |Korasutra,"<p><span> </span></p>
<p><span>Elevate your ethnic wardrobe with this exquisite Green Tussar Jamdani Saree, meticulously handcrafted to celebrate timeless Indian artistry. Woven from premium Tussar silk, the saree showcases the signature Jamdani weaving technique, enhanced with delicate floral motif needlework that adds depth, texture, and refined elegance.</span></p>
<p><span>Length 6.25m with blouse piece</span></p>
<p><span> </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,13250.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788847/korasutra/products/images/green-tussar-saree-with-floral-motif-korasutra-0-91ff5777.jpg,1,,false,,,8248,,,,,,,,,,,,,,green,tussar,one-size,,,kg,,,active
green-tussar-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-tussar-saree-with-floral-motif-korasutra/0-91ff5777.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-tussar-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-tussar-saree-with-floral-motif-korasutra/1-7085323d.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-tussar-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-tussar-saree-with-floral-motif-korasutra/2-1782331e.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-tussar-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-tussar-saree-with-floral-motif-korasutra/3-b75c666e.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
